Siruta,Localitate,Judet,Abs_liceal,Abs_postlic,Abs_primar_gimn,Abs_profes,Abs_tehnic,Abs_univ,Pop_liceal,Pop_profess,Pop_primar_gimn,Pop_univ
108348,Moisei,MM,0,0,93,0,0,0,0,0,641,0
108366,Oarta De Jos,MM,0,0,3,0,0,0,0,0,58,0
108400,Ocna Sugatag,MM,16,0,36,0,0,0,33,42,284,0
108455,Petrova,MM,21,0,27,0,0,0,47,64,211,0
108473,Poienile De Sub Munte,MM,44,0,167,0,0,0,168,178,1244,0
108491,Remetea Chioarului,MM,0,0,28,0,0,0,0,0,239,0
108552,Remeti,MM,0,0,24,0,0,0,0,0,223,0
108598,Repedea,MM,31,0,60,0,0,0,37,76,507,0
108614,Rona De Jos,MM,0,0,15,0,0,0,0,0,118,0
108632,Rona De Sus,MM,0,0,50,0,0,0,0,0,285,0
108669,Rozavlea,MM,39,0,24,0,0,0,66,83,179,0
108696,Ruscova,MM,20,0,57,0,0,0,48,43,403,0
108712,Satulung,MM,0,0,57,0,0,0,14,0,618,0
108794,Sacalaseni,MM,0,0,20,0,0,0,0,0,178,0
108874,Sacel,MM,0,0,27,0,0,0,0,0,222,0
108892,Oras Salistea De Sus,MM,0,0,55,0,0,0,0,0,311,0
108918,Salsig,MM,0,0,18,0,0,0,0,0,159,0
108945,Sapanta,MM,0,0,33,0,0,0,0,0,183,0
108963,Oras Seini,MM,53,0,83,0,0,0,367,0,722,0
109005,Stramtura,MM,0,0,36,0,0,0,0,0,235,0
109041,Suciu De Sus,MM,0,0,36,0,0,0,0,0,286,0
109096,Sisesti,MM,0,0,53,0,0,0,0,0,347,0
109176,Oras Somcuta Mare,MM,69,0,65,0,0,0,255,0,754,0
109265,Oras Ulmeni,MM,44,0,56,0,0,0,156,77,914,0
109354,Valea Chioarului,MM,0,0,13,0,0,0,0,0,134,0
109425,Vima Mica,MM,0,0,9,0,0,0,0,0,91,0
109504,Viseu De Jos,MM,0,0,36,0,0,0,0,0,280,0
109773,Municipiul Drobeta-Turnu Severin,MH,1342,647,892,14,111,480,5570,336,7543,1710
109826,Simian,MH,104,13,56,0,41,0,398,52,667,0
109924,Oras Baia De Arama,MH,161,0,71,0,0,0,698,12,508,0
110027,Obarsia-Closani,MH,0,0,13,0,0,0,0,0,84,0
110063,Municipiul Orsova,MH,175,60,126,0,11,0,824,103,772,0
110116,Oras Strehaia,MH,170,0,120,0,0,0,636,57,898,0
110232,Oras Vanju Mare,MH,99,0,49,0,0,0,335,0,400,0
110296,Bala,MH,0,0,30,0,0,0,0,0,232,0
110456,Balta,MH,0,0,10,0,0,0,0,0,70,0
110535,Balacita,MH,0,0,31,0,0,0,0,0,202,0
110571,Bacles,MH,0,0,11,0,0,0,0,0,151,0
110688,Balvanesti,MH,0,0,11,0,0,0,0,0,84,0
110740,Breznita-Motru,MH,0,0,14,0,0,0,0,0,91,0
110820,Breznita-Ocol,MH,0,0,13,0,0,0,0,0,180,0
110875,Brosteni,MH,0,0,14,0,0,0,0,0,163,0
110946,Burila Mare,MH,0,0,18,0,0,0,0,0,123,0
111006,Butoiesti,MH,0,0,21,0,0,0,0,0,181,0
111097,Cazanesti,MH,0,0,22,0,0,0,0,0,161,0
111220,Ciresu,MH,0,0,8,0,0,0,0,0,44,0
111275,Corcova,MH,0,0,52,0,0,0,0,0,507,0
111417,Corlatel,MH,0,0,21,0,0,0,0,38,146,0
