Siruta,X_c1,X_c2
1017,0.01738090777956708,1.5802184835613124
1071,-0.1631505769095548,-0.0004964518120138533
1151,-0.05980347035954036,-0.0004967509602834236
1213,0.790052874214788,-0.0004992109522788612
1348,0.572574615213888,-0.0004985814402680732
1455,0.026632291482289884,-0.0004970011570179672
1696,0.8084347706367273,-0.0004992641604690879
1794,0.3130630863948201,-0.0004978302588623748
1874,1.044703412646721,-0.0004999480630743347
1936,0.04072507873911004,-0.0004970419499638192
2130,-0.19815787742867041,-0.000496350479971538
2309,-0.2324299020909084,-0.0004962512762568278
2381,-0.2146607355497004,-0.0004963027108407371
2577,-0.22127821826159855,-0.0004962835558922557
2915,-0.11850299293359996,-0.0004965810487959197
2988,-0.20097643488003444,-0.0004963423213823631
3039,-0.08733546633373394,-0.00049667126623849
3397,-0.246277597395436,-0.0004962111927535475
3459,-0.22250367802306115,-0.0004962800086795881
3761,-0.24484789434039628,-0.0004962153311683426
3805,-0.21850050946894994,-0.0004962915962410221
3841,-0.2745040205677917,-0.0004961294886214027
3958,-0.15530763443619405,-0.000496474514175023
4008,-0.23606543271658081,-0.0004962407528592265
4106,-0.20820664747266387,-0.0004963213928275387
4142,-0.19872975865068632,-0.0004963488246056149
4188,-0.19725920693693114,-0.0004963530812608437
4240,-0.15632885090407958,-0.0004964715581644552
4268,-0.24419431580094952,-0.0004962172230151148
4302,-0.21870475276252702,-0.0004962910050388831
4366,-0.10494123824008027,-0.0004966203046162768
4482,-0.19844381803967834,-0.0004963496522885868
4525,-0.2157228006763013,-0.0004962996365897516
4703,-0.23610628137529627,-0.0004962406346187881
4767,-0.19913824523784052,-0.0004963476422014015
4927,-0.004494386458860703,-0.0004969110578158312
4981,-0.2593900168430861,-0.0004961732375778191
5103,-0.06813659673748619,-0.0004967268392371821
5167,-0.2330834806303551,-0.0004962493844100695
5210,-0.17405716878657218,-0.0004964202418209612
5309,-0.18083804613333201,-0.0004964006139107839
5336,-0.15534848309490945,-0.0004964743959345915
5577,-0.16927787571686792,-0.000496434075950425
5700,-0.15105937392979027,-0.0004964868111789883
5755,-0.19832127206353206,-0.0004963500070098374
5826,-0.25183301498073324,-0.0004961951120560285
6048,-0.21078011297173543,-0.0004963139436809043
6119,-0.26090141721555665,-0.0004961688626821818
6164,-0.2574292812247459,-0.0004961789131181266
6217,-0.1374976192362706,-0.0004965260669993395
6271,-0.23966011468353782,-0.0004962303477020265
6397,-0.2614732984375725,-0.0004961672073162865
6468,-0.24149830432573177,-0.0004962250268830044
6547,-0.23079595574229156,-0.000496256005873755
6592,-0.24207018554774773,-0.0004962233715170719
6627,-0.26286215283389686,-0.0004961631871418976
6761,-0.16772562668568197,-0.0004964385690864799
6930,-0.2196034232542663,-0.0004962884037495727
6976,-0.22172755350746814,-0.0004962822552476017
7044,-0.18884438324155448,-0.0004963774387879413
7099,-0.02279458556336918,-0.0004968580861064423
7197,-0.2162946818983172,-0.0004962979812238377
7348,-0.17458820134987263,-0.0004964187046954765
7384,-0.1616800251957997,-0.0004964560686690613
7446,-0.2115970861460438,-0.0004963115788724477
7767,-0.18373830090212687,-0.0004963922188407808
7810,-0.1843510307828582,-0.0004963904452344284
7865,-0.10392002177219474,-0.0004966232606268481
7945,-0.17916325112599976,-0.0004964054617681217
8014,-0.16600998301963427,-0.0004964435351842608
8096,0.022138939023593606,-0.0004969881505714639
8158,-0.07785857751175634,-0.0004966986980165627
8229,-0.22883522012395136,-0.0004962616814140417
8354,-0.1568190348086646,-0.0004964701392793823
8425,-0.21727504970748732,-0.000496295143453706
8826,-0.06135571939072636,-0.0004967464671473543
9019,-0.23316517794778596,-0.000496249147929225
9026,-0.1867202529883526,-0.0004963835872899239
9262,7.033239326303547,-0.0005172824637721254
9280,-0.13337190470601312,-0.0004965380092820252
9333,-0.14309388548028323,-0.0004965098680614271
9360,-0.17262746573153243,-0.0004964243802357701
9397,0.24529516158593706,-0.0004976340980009913
9459,0.059638007724349844,-0.0004970966952795585
9495,0.07103478350595226,-0.0004971296843575215
9538,0.1063688732947912,-0.0004972319623232108
9574,0.1805091888632798,-0.0004974465686904993
9627,0.04186884118314183,-0.0004970452606956613
9654,0.04693407486385402,-0.0004970599225080966
9690,-0.021732520436768245,-0.0004968611603574336
9743,-0.17777439672967546,-0.0004964094819425015
9798,-0.14485037780504634,-0.0004965047837232425
9832,-0.22189094814232985,-0.000496281782285908
9887,-0.24174339627802433,-0.0004962243174404592
9930,-0.16143493324350716,-0.0004964567781116087
10006,-0.2078390095442251,-0.0004963224569913575
10051,-0.21008568577357326,-0.000496315953768092
10104,-0.18112398674433997,-0.0004963997862278258
10195,-0.14628008086008606,-0.0004965006453084439
10239,-0.23492167027254907,-0.0004962440635910796
10293,-0.14583074561421644,-0.0004965019459530992
10346,-0.23761768174776685,-0.0004962362597231623
10373,-0.17307680097740205,-0.0004964230795911254
10417,-0.2312044423294458,-0.0004962548234695117
10453,-0.1918671839864956,-0.0004963686889966552
10514,-0.17385292549299508,-0.0004964208330230932
10532,-0.16666356155908102,-0.0004964416433374839
10649,-0.23573864344685747,-0.0004962416987826277
10701,-0.224137624371678,-0.0004962752790626609
10765,-0.2269970304817574,-0.0004962670022330593
10827,-0.1566147915150875,-0.0004964707304814867
10872,-0.11817620366387657,-0.0004965819947193002
10916,-0.18104228942690911,-0.0004964000227086796
10943,-0.125692356867514,-0.0004965602384815094
11058,-0.17201473585080113,-0.0004964261538420971
11174,-0.23492167027254907,-0.0004962440635910796
11236,-0.23316517794778596,-0.000496249147929225
