Region,AirEmiss,Sulphur,Nitrogen,Ammonia,NonMeth,Partic,GreenGE,GreenGIE
EasternE,117.23024019173657,5.47074454228104,6.512791121763143,1.82358151409368,3.907674673057886,5.210232897410514,17.688740686708698,15.474391705309227
NorthernE,58.09681233441803,8.714521850162704,9.682802055736339,1.9365604111472676,4.841401027868169,5.809681233441803,19.46243213203004,17.7195277619975
SouthernE,36.686619450894554,2.693448010318841,3.250713115902049,0.6965813819790105,1.6253565579510245,2.043305387138431,7.309460634899751,6.408548714206897
WesternE,31.63197297848335,2.1087981985655566,2.567232589558069,0.5730429887406404,1.4669900511760394,1.9254244421685518,6.074255680650789,5.143633866935988
