Siruta,Localitate,Diferenta_Barbati_Femei
15313,Cepari,-3242.2
140547,Cizer,-3242.2
112771,Oprisor,-3245.1
144232,Barghis,-3245.1
76004,Corni,-3250.9
160225,Ciucurova,-3252.35
86438,Madaras,-3252.35
144991,Micasasa,-3252.35
156311,Cheveresu Mare,-3255.25
21249,Beresti-Bistrita,-3256.7
122392,Dragomiresti,-3256.7
126380,Coteana,-3256.7
127938,Orlea,-3258.15
145275,Poiana Sibiului,-3261.05
94330,Salcioara,-3261.05
77028,Priponesti,-3265.4
137443,Craidorolt,-3265.4
81816,Saulesti,-3266.85
145961,Valea Viilor,-3268.3
133688,Gura Vadului,-3272.65
177762,Soveja,-3274.1
179926,Rascaeti,-3275.55
41113,Harseni,-3275.55
86446,Cozmeni,-3277.0
155145,Saelele,-3282.8
32179,Sannicolau Roman,-3285.7
133615,Gornet-Cricov,-3287.15
76139,Cuca,-3290.05
45361,Boldu,-3290.05
172153,Perisani,-3291.5
175466,Brosteni,-3292.95
59586,Sanpaul,-3295.85
153124,Lisa,-3295.85
177003,Nistoresti,-3300.2
28610,Ciuhoi,-3300.2
134853,Provita De Jos,-3301.65
12126,Socodor,-3301.65
22488,Filipeni,-3303.1
10453,Conop,-3306.0
119206,Saschiz,-3306.0
46830,Ghergheasa,-3307.45
150702,Ulma,-3308.9
63318,Saligny,-3310.35
42156,Ungra,-3311.8
157585,Margina,-3313.25
126326,Corbu,-3313.25
16613,Harsesti,-3314.7
159507,Pesac,-3319.05
101564,Butimanu,-3320.5
16659,Hartiesti,-3320.5
108794,Sacalaseni,-3323.4
149682,Panaci,-3326.3
73923,Robanesti,-3326.3
127126,Giuvarasti,-3327.75
64773,Reci,-3333.55
38241,Mihalaseni,-3336.45
143021,Varsolt,-3336.45
50549,Unguriu,-3339.35
67942,Malu Cu Flori,-3339.35
123969,Razboieni,-3339.35
21891,Colonesti,-3342.25
74859,Carcea,-3345.15
91116,Salasu De Sus,-3345.15
149851,Poiana Stampei,-3345.15
103470,Greaca,-3346.6
25362,Secuieni,-3346.6
71536,Carpen,-3348.05
79237,Branesti,-3352.4
74411,Teslui,-3352.4
93628,Gheorghe Lazar,-3356.75
82314,Stoina,-3356.75
119661,Suplac,-3358.2
57948,Garbau,-3361.1
129095,Stoenesti,-3361.1
57314,Catcau,-3361.1
77536,Vladesti,-3362.55
15652,Cocu,-3362.55
134755,Predeal-Sarari,-3362.55
49439,Scutelnici,-3366.9
170872,Livezi,-3366.9
156106,Boldur,-3366.9
104788,Rasuceni,-3368.35
71910,Cotofenii Din Dos,-3372.7
174290,Zatreni,-3372.7
64390,Haghig,-3374.15
159437,Parta,-3374.15
103372,Gostinari,-3377.05
137103,Barsau,-3378.5
80560,Ionesti,-3378.5
100870,Armasesti,-3379.95
29662,Husasau De Tinca,-3379.95
154228,Silistea,-3385.75
26361,Prajesti,-3385.75
130231,Vulturesti,-3393.0
126166,Carlogani,-3404.6
15493,Ciofrangeni,-3406.05
119723,Suseni,-3406.05
104715,Putineiu,-3407.5
164829,Malusteni,-3407.5
75613,Balasesti,-3407.5
163379,Delesti,-3410.4
103194,Gaujani,-3411.85
7044,Salistea,-3413.3
177469,Reghiu,-3413.3
151521,Burla,-3420.55
94580,Stefan Voda,-3422.0
42101,Ucea,-3422.0
173686,Sirineasa,-3422.0
28246,Cefa,-3429.25
19114,Stefan Cel Mare,-3429.25
73371,Murgasi,-3430.7
15064,Caldararu,-3432.15
34770,Sieu-Odorhei,-3432.15
17398,Mirosi,-3433.6
179613,Sieu,-3436.5
154996,Nenciulesti,-3436.5
107975,Desesti,-3437.95
125588,Garcov,-3437.95
163324,Deleni,-3439.4
167277,Cozmesti,-3442.3
58357,Maguri-Racatau,-3445.2
151433,Comanesti,-3446.65
129987,Valcele,-3448.1
166137,Suletea,-3449.55
100549,Slobozia,-3449.55
135618,Stefesti,-3452.45
161259,Slava Cercheza,-3452.45
24999,Rosiori,-3453.9
134390,Plopu,-3453.9
154139,Seaca,-3455.35
56354,Caianu,-3459.7
60883,Adamclisi,-3462.6
159339,Voiteg,-3466.95
132226,Balta Doamnei,-3469.85
60169,Negreni,-3469.85
73460,Negoi,-3471.3
72098,Dobresti,-3471.3
107868,Coroieni,-3477.1
74907,Ghidici,-3477.1
100852,Alexeni,-3478.55
85788,Sanmartin,-3481.45
75917,Certesti,-3482.9
59416,Sic,-3487.25
104323,Nana,-3487.25
9026,Bucerdea Granoasa,-3488.7
62878,Sacele,-3488.7
142122,Mirsid,-3490.15
28709,Campani,-3494.5
82243,Stejari,-3497.4
96888,Dobrovat,-3501.75
179908,Pietrari,-3504.65
48227,Panatau,-3504.65
135850,Tinosu,-3504.65
44863,Amaru,-3506.1
176855,Nanesti,-3510.45
145934,Turnu Rosu,-3513.35
139107,Tiream,-3516.25
141134,Galgau,-3517.7
154380,Smardioasa,-3519.15
141312,Halmasd,-3519.15
107154,Baiut,-3519.15
144303,Blajel,-3519.15
179784,Boranesti,-3520.6
27007,Oras Vascau,-3522.05
144615,Hoghilag,-3522.05
14673,Boteni,-3522.05
64906,Valea Crisului,-3523.5
141580,Ileanda,-3526.4
51243,Armenis,-3527.85
125374,Slatioara,-3527.85
137274,Camarzana,-3527.85
72221,Dranic,-3529.3
108240,Leordina,-3530.75
100923,Axintele,-3530.75
23047,Huruiesti,-3532.2
56425,Calarasi,-3538.0
53130,Luncavita,-3539.45
153204,Mavrodin,-3539.45
75668,Baleni,-3539.45
153106,Izvoarele,-3539.45
74949,Rojiste,-3539.45
119386,Sanger,-3542.35
155127,Frasinet,-3543.8
19141,Suici,-3553.95
104118,Mihai Bravu,-3553.95
127625,Morunglav,-3553.95
112995,Ponoarele,-3555.4
28941,Curatele,-3555.4
53425,Paltinis,-3556.85
178956,Rastoaca,-3559.75
44113,Surdila-Gaiseanca,-3564.1
56461,Calatele,-3564.1
149101,Horodnic De Jos,-3564.1
26353,Odobesti,-3565.55
122025,Ceahlau,-3567.0
30844,Rosia,-3568.45
127171,Gradinari,-3571.35
173855,Tetoiu,-3572.8
7810,Sibot,-3572.8
14049,Arefu,-3572.8
129380,Teslui,-3572.8
93021,Bucu,-3581.5
62137,Mereni,-3582.95
179659,Negrilesti,-3582.95
105712,Valea Argovei,-3584.4
45539,Braesti,-3584.4
100754,Adancata,-3587.3
129040,Sprancenata,-3588.75
47630,Manzalesti,-3588.75
157683,Masloc,-3590.2
44462,Visani,-3593.1
45496,Bradeanu,-3594.55
7767,Stremt,-3594.55
53577,Prigor,-3600.35
172992,Sinesti,-3603.25
25745,Tatarasti,-3603.25
170612,Lalosu,-3604.7
154282,Silistea-Gumesti,-3606.15
125150,Gadinti,-3606.15
44934,Balta Alba,-3607.6
153623,Plopii-Slavitesti,-3607.6
151503,Capu Campului,-3609.05
28497,Cherechiu,-3609.05
61675,Deleni,-3610.5
117998,Lunca,-3614.85
21098,Ardeoani,-3614.85
44355,Unirea,-3614.85
93156,Ciulnita,-3616.3
31128,Sarbi,-3617.75
108455,Petrova,-3617.75
100326,Harmanesti,-3619.2
45959,Catina,-3625.0
178929,Biliesti,-3626.45
118370,Mihesu De Campie,-3626.45
122864,Grinties,-3627.9
105455,Tamadau Mare,-3627.9
175509,Chiojdeni,-3630.8
18475,Rociu,-3630.8
160092,Ceamurlia De Jos,-3635.15
150178,Sadova,-3636.6
84460,Galautas,-3638.05
107715,Campulung La Tisa,-3639.5
169119,Caineni,-3645.3
71518,Caraula,-3651.1
33337,Ilva Mare,-3654.0
172698,Rosiile,-3655.45
33275,Galatii Bistritei,-3659.8
115851,Breaza,-3664.15
77126,Scanteiesti,-3665.6
31422,Soimi,-3667.05
57083,Chiuiesti,-3668.5
74750,Varvoru De Jos,-3674.3
158966,Topolovatu Mare,-3678.65
77377,Tepu,-3681.55
137292,Cauas,-3683.0
10104,Barzava,-3687.35
10916,Graniceri,-3690.25
86936,Teliucu Inferior,-3691.7
145471,Sadu,-3694.6
5309,Lunca Muresului,-3697.5
75819,Buciumeni,-3698.95
37850,Leorda,-3706.2
104270,Movilita,-3706.2
11352,Iratosu,-3707.65
125098,Dochia,-3707.65
87745,Baia De Cris,-3710.55
77579,Negrilesti,-3713.45
80249,Dragotesti,-3722.15
82779,Vagiulesti,-3723.6
164062,Garceni,-3730.85
51332,Bautar,-3730.85
25629,Strugari,-3730.85
158396,Remetea Mare,-3730.85
33765,Mariselu,-3732.3
170220,Golesti,-3733.75
63893,Bodoc,-3741.0
111685,Floresti,-3749.7
179775,Sabareni,-3749.7
102446,Daia,-3751.15
99441,Tansa,-3752.6
62020,Istria,-3752.6
47774,Movila Banului,-3754.05
107485,Botiza,-3755.5
41248,Homorod,-3755.5
152582,Cosmesti,-3755.5
142337,Plopis,-3756.95
7945,Spring,-3756.95
93851,Lehliu,-3758.4
34155,Parva,-3761.3
148328,Dragoiesti,-3765.65
115575,Bagaciu,-3768.55
155797,Belint,-3768.55
141535,Horoatu Crasnei,-3771.45
43867,Salcia Tudor,-3772.9
140501,Chiesd,-3772.9
111550,Darvari,-3780.15
72640,Goicea,-3780.15
29341,Dragesti,-3780.15
151549,Hartop,-3783.05
151488,Fantana Mare,-3783.05
140379,Buciumi,-3783.05
171995,Pausesti,-3785.95
54387,Toplet,-3787.4
138734,Santau,-3788.85
151763,Lita,-3788.85
69303,Valeni-Dambovita,-3790.3
116867,Galesti,-3791.75
174085,Valea Mare,-3793.2
85680,Sancraieni,-3797.55
33658,Matei,-3800.45
113625,Sisesti,-3801.9
124563,Tasca,-3801.9
147161,Botosana,-3801.9
116046,Chetani,-3803.35
180046,Gura Ialomitei,-3803.35
164277,Dimitrie Cantemir,-3803.35
9743,Almas,-3806.25
148382,Draguseni,-3810.6
16472,Dragoslavele,-3810.6
72579,Gangiova,-3810.6
112664,Malovat,-3812.05
146708,Oras Solca,-3813.5
171539,Muereasca,-3813.5
125846,Barza,-3813.5
118575,Ogra,-3813.5
42968,Ciocile,-3813.5
127750,Obarsia,-3816.4
126022,Brancoveni,-3819.3
122463,Dulcesti,-3819.3
128659,Schitu,-3825.1
93600,Gheorghe Doja,-3825.1
125178,Boghicea,-3825.1
105295,Stanesti,-3825.1
37100,Dobarceni,-3832.35
73503,Orodel,-3833.8
80766,Logresti,-3835.25
159419,Gottlob,-3838.15
179748,Cosoba,-3839.6
34850,Sieut,-3843.95
180028,Porumbesti,-3848.3
153400,Nasturelu,-3848.3
162924,Bunesti-Averesti,-3852.65
102525,Darasti-Ilfov,-3855.55
29038,Derna,-3855.55
38161,Mihaileni,-3857.0
154754,Trivalea-Mosteni,-3859.9
53167,Lupac,-3862.8
86453,Tomesti,-3868.6
153936,Salcia,-3870.05
137504,Crucisor,-3870.05
170346,Gradistea,-3871.5
94045,Milosesti,-3872.95
64345,Ghidfalau,-3875.85
125999,Brebeni,-3875.85
153062,Gratia,-3875.85
179588,Copaceni,-3877.3
57644,Fizesu Gherlii,-3881.65
83936,Bilbor,-3883.1
136768,Andrid,-3884.55
161053,Nufaru,-3886.0
12689,Varfurile,-3887.45
38456,Nicseni,-3893.25
153240,Magura,-3894.7
40704,Bunesti,-3896.15
79585,Catunele,-3900.5
37173,Draguseni,-3901.95
70520,Afumati,-3904.85
159428,Iecea Mare,-3904.85
38544,Pomarla,-3907.75
42913,Bordei Verde,-3909.2
160831,Mihai Bravu,-3909.2
62486,Oltina,-3910.65
129184,Studina,-3910.65
105222,Sohatu,-3913.55
171931,Otesani,-3915.0
27846,Budureasa,-3917.9
16944,Lunca Corbului,-3917.9
7348,Sancel,-3919.35
153026,Galateni,-3920.8
157781,Moravita,-3928.05
176150,Fitionesti,-3930.95
165069,Oltenesti,-3933.85
129763,Valeni,-3935.3
45619,Breaza,-3936.75
5210,Lopadea Noua,-3938.2
129111,Stoicanesti,-3938.2
141946,Marca,-3941.1
105026,Sinesti,-3942.55
10514,Covasint,-3945.45
30069,Magesti,-3948.35
176338,Gura Calitei,-3949.8
43812,Rosiori,-3952.7
105909,Vedea,-3954.15
61826,Ghindaresti,-3955.6
31841,Tulca,-3959.95
152528,Ciolanesti,-3961.4
41284,Jibert,-3965.75
90994,Romos,-3965.75
141447,Hida,-3967.2
94125,Alexandru Odobescu,-3967.2
59880,Unguras,-3968.65
10373,Cermei,-3973.0
85074,Mihaileni,-3974.45
142550,Salatig,-3974.45
81380,Polovragi,-3977.35
29948,Lunca,-3978.8
12812,Zarand,-3980.25
128560,Rotunda,-3980.25
31565,Tarcea,-3984.6
178279,Urechesti,-3984.6
160724,Mahmudia,-3986.05
38679,Rauseni,-3987.5
73665,Piscu Vechi,-3988.95
9360,Sofronea,-3988.95
154932,Vartoape,-3990.4
106620,Sarasau,-3993.3
97465,Helesteni,-3994.75
82396,Telesti,-3999.1
76111,Costache Negri,-3999.1
136802,Apa,-3999.1
110535,Balacita,-4002.0
173533,Stroesti,-4003.45
104225,Marsa,-4004.9
179846,Coltau,-4006.35
107001,Ardusat,-4007.8
142177,Napradea,-4009.25
30229,Olcea,-4009.25
12920,Frumuseni,-4009.25
40768,Cata,-4010.7
11058,Halmagiu,-4010.7
168675,Berislavesti,-4015.05
18411,Recea,-4015.05
19695,Valea Iasului,-4015.05
34262,Rebra,-4015.05
45245,Bisoca,-4015.05
147465,Bunesti,-4015.05
83491,Oras Borsec,-4019.4
51449,Berzasca,-4019.4
177263,Poiana Cristei,-4020.85
152252,Branceni,-4023.75
112469,Izvoru Barzii,-4023.75
169182,Copaceni,-4025.2
164543,Ivesti,-4026.65
153589,Pietrosani,-4026.65
142710,Somes-Odorhei,-4026.65
87996,Baru,-4029.55
84102,Carta,-4029.55
156767,Dumbrava,-4029.55
56522,Camarasu,-4029.55
164892,Miclesti,-4031.0
94651,Unirea,-4031.0
38321,Mileanca,-4032.45
140672,Creaca,-4035.35
110875,Brosteni,-4035.35
82831,Vladimir,-4036.8
83847,Avramesti,-4038.25
129816,Verguleasa,-4041.15
32161,Paleu,-4042.6
51877,Constantin Daicoviciu,-4044.05
42456,Crizbav,-4045.5
51751,Bucosnita,-4049.85
86461,Ciceu,-4055.65
149780,Partestii De Jos,-4055.65
30014,Madaras,-4060.0
106363,Grosi,-4060.0
30470,Pomezeu,-4060.0
19560,Ungheni,-4060.0
129585,Tufeni,-4060.0
113493,Salcia,-4061.45
128524,Redea,-4061.45
39220,Stiubieni,-4062.9
66526,Candesti,-4064.35
155840,Bethausen,-4064.35
153776,Vitanesti,-4065.8
127224,Grojdibodu,-4065.8
77595,Cuza Voda,-4068.7
163967,Gherghesti,-4071.6
152617,Crangeni,-4071.6
178750,Vrancioaia,-4073.05
168960,Bunesti,-4074.5
20055,Vulturesti,-4077.4
124616,Tazlau,-4077.4
38893,Santa Mare,-4087.55
104421,Nuci,-4089.0
85582,Secuieni,-4089.0
93441,Dorobantu,-4090.45
49313,Scortoasa,-4093.35
94269,Reviga,-4097.7
179935,Persinari,-4097.7
88644,Bretea Romana,-4100.6
34397,Salva,-4104.95
22237,Dealu Morii,-4106.4
159035,Tormac,-4106.4
96904,Dolhesti,-4106.4
5577,Metes,-4107.85
17824,Oarja,-4110.75
119527,Sanpetru De Campie,-4113.65
12938,Zadareni,-4115.1
164197,Hoceni,-4116.55
68253,Morteni,-4116.55
159259,Victor Vlad Delamarina,-4119.45
143959,Arpasu De Jos,-4120.9
160993,Nalbant,-4125.25
91982,Vetel,-4131.05
148872,Galanesti,-4133.95
128221,Plesoiu,-4135.4
137130,Bogdand,-4136.85
63198,Amzacea,-4136.85
47300,Luciu,-4139.75
85289,Plaiesii De Jos,-4142.65
34075,Nuseni,-4142.65
129246,Serbanesti,-4144.1
153295,Mereni,-4145.55
53513,Pojejena,-4148.45
127144,Gostavatu,-4154.25
129898,Visina,-4155.7
85626,Siculeni,-4155.7
167641,Oras Baile Govora,-4158.6
105776,Valea Dragului,-4160.05
21560,Bogdanesti,-4161.5
6761,Rosia Montana,-4162.95
39532,Unteni,-4170.2
119590,Solovastru,-4171.65
108491,Remetea Chioarului,-4173.1
30719,Remetea,-4174.55
106648,Vadu Izei,-4174.55
102473,Dascalu,-4177.45
72463,Gighera,-4177.45
171879,Orlesti,-4181.8
145998,Vurpar,-4183.25
96593,Cozmesti,-4183.25
154790,Troianul,-4184.7
112076,Hinova,-4186.15
74509,Tuglui,-4187.6
61005,Aliman,-4187.6
179711,Vladeni,-4191.95
43493,Marasu,-4194.85
22665,Gaiceana,-4196.3
32884,Cetate,-4197.75
158243,Racovita,-4199.2
10532,Craiva,-4200.65
14085,Babana,-4203.55
78472,Albeni,-4207.9
133562,Gornet,-4209.35
112245,Eselnita,-4209.35
179819,Ograda,-4210.8
154852,Vedea,-4210.8
147660,Ilisesti,-4215.15
12224,Sepreus,-4215.15
116983,Gheorghe Doja,-4219.5
148131,Dorna-Arini,-4223.85
8014,Sugag,-4223.85
95612,Alexandru I. Cuza,-4231.1
144795,Loamnes,-4234.0
23644,Negri,-4234.0
157898,Nadrag,-4238.35
41818,Sercaia,-4239.8
11842,Savarsin,-4241.25
84923,Martinis,-4245.6
28763,Cociuba Mare,-4247.05
93539,Dragos Voda,-4248.5
29243,Draganesti,-4254.3
165336,Poienesti,-4255.75
152500,Cervenia,-4261.55
33015,Chiochis,-4263.0
163137,Costesti,-4265.9
53247,Maureni,-4265.9
153696,Poeni,-4273.15
33514,Lesu,-4273.15
138869,Socond,-4274.6
151576,Berchisesti,-4278.95
159455,Saravale,-4280.4
157031,Gavojdia,-4283.3
172340,Pietrari,-4283.3
145355,Racovita,-4289.1
104886,Sarulesti,-4293.45
175732,Carligele,-4293.45
41417,Mandra,-4294.9
152038,Babaita,-4294.9
52160,Cornereva,-4300.7
150221,Siminicea,-4313.75
51804,Carasova,-4315.2
171806,Olanu,-4318.1
111480,Devesel,-4319.55
142006,Maeriste,-4321.0
27212,Auseu,-4323.9
121876,Bozieni,-4323.9
147580,Calafindesti,-4323.9
180091,Racsa,-4325.35
50228,Vintila Voda,-4326.8
136241,Cocorastii Colt,-4329.7
11995,Seleus,-4331.15
137611,Doba,-4334.05
39792,Vlasinesti,-4336.95
148916,Gramesti,-4338.4
72533,Giurgita,-4338.4
55062,Cuzdrioara,-4339.85
34645,Sieu,-4341.3
118469,Nades,-4345.65
81415,Prigoria,-4348.55
72052,Diosti,-4350.0
20063,Bughea De Sus,-4352.9
16551,Godeni,-4355.8
149931,Pojorata,-4360.15
15402,Cetateni,-4361.6
128178,Parscoveni,-4363.05
67773,Lucieni,-4365.95
159963,Casimcea,-4370.3
159945,Carcaliu,-4374.65
54056,Slatina-Timis,-4377.55
136713,Acas,-4377.55
7384,Santimbru,-4377.55
19631,Valea Danului,-4379.0
32187,Rosiori,-4383.35
51573,Bozovici,-4383.35
129139,Strejesti,-4386.25
137844,Hodod,-4386.25
9930,Beliu,-4386.25
72677,Goiesti,-4393.5
63866,Belin,-4394.95
105106,Singureni,-4396.4
178901,Popesti,-4397.85
89240,Certeju De Sus,-4399.3
69615,Vulcana-Bai,-4405.1
120487,Corunca,-4405.1
172377,Popesti,-4406.55
37057,Dangeni,-4406.55
118799,Petelea,-4409.45
154665,Tatarastii De Sus,-4410.9
175590,Ciorasti,-4412.35
112030,Gruia,-4412.35
154184,Segarcea-Vale,-4413.8
75864,Cavadinesti,-4419.6
125873,Bobicesti,-4419.6
145792,Sura Mica,-4419.6
163789,Epureni,-4421.05
74554,Urzicuta,-4421.05
30773,Rieni,-4422.5
159142,Uivar,-4422.5
107403,Bogdan Voda,-4425.4
140823,Criseni,-4426.85
97189,Gorban,-4431.2
96334,Coarnele Caprei,-4432.65
61871,Independenta,-4434.1
38492,Paltinis,-4434.1
74322,Teasc,-4435.55
169351,Daesti,-4437.0
66580,Cobia,-4437.0
119974,Valea Larga,-4439.9
45673,Buda,-4441.35
155591,Banloc,-4442.8
18331,Ratesti,-4442.8
18938,Stolnici,-4445.7
19007,Suseni,-4447.15
122249,Damuc,-4450.05
148202,Dorna Candrenilor,-4452.95
40857,Comana,-4455.85
83785,Atid,-4458.75
129567,Traian,-4463.1
157362,Jamu Mare,-4468.9
14922,Bughea De Jos,-4470.35
139143,Tarsolt,-4471.8
107519,Budesti,-4473.25
178938,Gologanu,-4473.25
162014,Albesti,-4474.7
25291,Scorteni,-4476.15
43019,Ciresu,-4477.6
12206,Seitin,-4481.95
159464,Sandra,-4484.85
162327,Bacani,-4486.3
144198,Biertan,-4489.2
156277,Cenei,-4490.65
25692,Tamasi,-4496.45
27070,Abram,-4509.5
56568,Capusu Mare,-4509.5
16285,Davidesti,-4509.5
151246,Zamostea,-4510.95
29519,Hidiselu De Sus,-4510.95
30988,Salacea,-4510.95
97517,Horlesti,-4519.65
42842,Bertestii De Jos,-4521.1
142079,Mesesenii De Jos,-4524.0
174156,Vladesti,-4528.35
135501,Soimari,-4528.35
124411,Stefan Cel Mare,-4534.15
153561,Piatra,-4534.15
49625,Stalpu,-4535.6
158181,Pischia,-4541.4
142426,Romanasi,-4542.85
103443,Gradistea,-4542.85
39051,Sulita,-4542.85
27169,Abramut,-4547.2
8354,Valea Lunga,-4550.1
128613,Scarisoara,-4555.9
10827,Felnac,-4557.35
81497,Rosia De Amaradia,-4560.25
61283,Ciocarlia,-4560.25
39975,Cosula,-4561.7
56988,Chinteni,-4563.15
154497,Storobaneasa,-4563.15
4240,Daia Romana,-4567.5
152350,Calinesti,-4568.95
42307,Voila,-4570.4
170952,Lungesti,-4570.4
158449,Sacosu Turcesc,-4571.85
49894,Ulmeni,-4576.2
16454,Domnesti,-4576.2
107546,Calinesti,-4582.0
32660,Branistea,-4582.0
82733,Urdari,-4583.45
156669,Denta,-4583.45
68887,Selaru,-4587.8
98257,Movileni,-4587.8
155760,Becicherecu Mic,-4590.7
43180,Galbenu,-4592.15
146995,Balcauti,-4595.05
25861,Traian,-4596.5
63286,Costinesti,-4597.95
153473,Olteni,-4597.95
150418,Sucevita,-4600.85
28530,Chislaz,-4600.85
5336,Lupsa,-4602.3
115147,Alunis,-4602.3
3958,Cetatea De Balta,-4603.75
149655,Ostra,-4605.2
108945,Sapanta,-4608.1
171067,Mateesti,-4608.1
23207,Lipova,-4612.45
132342,Bertea,-4615.35
93101,Ciochina,-4616.8
30336,Pietroasa,-4616.8
71199,Bratovoesti,-4621.15
166672,Vetrisoaia,-4629.85
42824,Baraganul,-4631.3
91232,Santamaria-Orlea,-4631.3
68404,Pietrosita,-4634.2
115183,Apold,-4635.65
93931,Lupsanu,-4637.1
108669,Rozavlea,-4638.55
138574,Piscolt,-4647.25
48682,Podgoria,-4648.7
29573,Holod,-4650.15
29813,Lazareni,-4653.05
41382,Maierus,-4655.95
108151,Giulesti,-4657.4
126647,Deveselu,-4657.4
96058,Braesti,-4658.85
178894,Ploscuteni,-4661.75
152564,Contesti,-4664.65
157317,Giulvaz,-4664.65
108552,Remeti,-4664.65
44532,Zavoaia,-4667.55
122551,Farcasa,-4669.0
173793,Susani,-4671.9
136553,Capleni,-4673.35
71572,Castranova,-4673.35
19999,Vladesti,-4673.35
31510,Suncuius,-4676.25
43466,Jirlau,-4679.15
58721,Moldovenesti,-4680.6
86133,Tulghes,-4682.05
37011,Dersca,-4684.95
126148,Cilieni,-4687.85
49484,Siriu,-4687.85
103764,Ileana,-4687.85
62057,Lipnita,-4690.75
169253,Costesti,-4692.2
90878,Rau De Mori,-4692.2
142952,Valcau De Jos,-4695.1
67675,Hulubesti,-4695.1
79932,Cruset,-4696.55
128472,Radomiresti,-4698.0
78873,Bengesti-Ciocadia,-4699.45
124233,Secuieni,-4700.9
26338,Buciumi,-4700.9
31878,Tetchea,-4708.15
179702,Traian,-4708.15
111006,Butoiesti,-4708.15
41738,Recea,-4709.6
145293,Porumbacu De Jos,-4712.5
61559,Crucea,-4719.75
72953,Lipovu,-4719.75
37397,George Enescu,-4721.2
32704,Budacu De Jos,-4722.65
80285,Farcasesti,-4728.45
108017,Oras Dragomiresti,-4729.9
179686,Dumitrita,-4729.9
102071,Colibasi,-4732.8
129745,Vadastrita,-4734.25
133394,Fulga,-4735.7
173748,Stefanesti,-4735.7
71885,Cosoveni,-4738.6
165817,Rosiesti,-4740.05
117925,Livezeni,-4741.5
151460,Serbauti,-4744.4
179891,Raciu,-4745.85
103407,Gradinari,-4748.75
5700,Mihalt,-4754.55
93995,Mihail Kogalniceanu,-4756.0
113395,Punghina,-4764.7
160877,Mihail Kogalniceanu,-4766.15
178046,Tamboesti,-4767.6
94562,Stefan Cel Mare,-4769.05
177405,Racoasa,-4769.05
63937,Borosneu Mare,-4777.75
48487,Pietroasele,-4779.2
104519,Oinacu,-4782.1
113732,Tamna,-4786.45
159384,Dudestii Noi,-4790.8
104582,Petrachioaia,-4796.6
79077,Bolbosi,-4802.4
43625,Mircea Voda,-4812.55
76282,Foltesti,-4816.9
101822,Chiselet,-4821.25
102703,Dridu,-4821.25
82047,Slivilesti,-4822.7
142612,Sag,-4829.95
145202,Orlat,-4834.3
120370,Zau De Campie,-4834.3
83197,Feliceni,-4835.75
58623,Mociu,-4837.2
145140,Nocrich,-4837.2
79406,Bustuchin,-4838.65
33603,Lunca Ilvei,-4838.65
162693,Bogdanesti,-4840.1
165416,Pogana,-4841.55
27329,Balc,-4844.45
79157,Borascu,-4844.45
156623,Darova,-4851.7
13999,Aninoasa,-4857.5
164598,Laza,-4857.5
111444,Cujmir,-4857.5
144651,Iacobeni,-4858.95
135547,Sotrile,-4861.85
89428,Dobra,-4866.2
150310,Stroiesti,-4866.2
166413,Todiresti,-4867.65
99290,Scheia,-4877.8
143646,Tarnava,-4880.7
41621,Poiana Marului,-4885.05
165611,Pungesti,-4892.3
166235,Tacuta,-4893.75
173061,Slatioara,-4898.1
132716,Cocorastii Mislii,-4899.55
22834,Glavanesti,-4902.45
158779,Sag,-4903.9
168559,Barbatesti,-4903.9
76745,Movileni,-4906.8
44202,Traian,-4912.6
97321,Gropnita,-4914.05
64130,Catalina,-4916.95
117042,Ghindari,-4916.95
171628,Nicolae Balcescu,-4918.4
10195,Bocsig,-4924.2
152948,Furculesti,-4924.2
49153,Sahateni,-4925.65
131988,Alunis,-4927.1
24034,Parava,-4928.55
88261,Beriu,-4931.45
61210,Chirnogeni,-4934.35
75338,Oras Beresti,-4935.8
76497,Gohor,-4938.7
104047,Letca Noua,-4940.15
24427,Plopana,-4940.15
10293,Buteni,-4940.15
37958,Manoleasa,-4940.15
46803,Gheraseni,-4943.05
17968,Poienarii De Muscel,-4945.95
43313,Gropeni,-4951.75
62672,Pecineaga,-4956.1
105384,Soldanu,-4957.55
38811,Roma,-4960.45
84754,Lunca De Sus,-4966.25
44560,Cazasu,-4969.15
49206,Sapoca,-4970.6
127689,Movileni,-4973.5
9798,Apateu,-4974.95
68529,Produlesti,-4976.4
53372,Obreja,-4979.3
100335,Rachiteni,-4986.55
38580,Prajeni,-4986.55
136964,Beltiug,-4988.0
39694,Varfu Campului,-4992.35
165130,Osesti,-4993.8
67167,Crangurile,-4995.25
93735,Grivita,-4996.7
46180,Chiojdu,-4999.6
103960,Jilavele,-5017.0
154585,Tatarastii De Jos,-5018.45
44060,Stancuta,-5019.9
23494,Motoseni,-5019.9
27285,Avram Iancu,-5024.25
23975,Palanca,-5031.5
98603,Prisacani,-5034.4
47079,Gura Teghii,-5034.4
161464,Turcoaia,-5035.85
153151,Lunca,-5037.3
9333,Livada,-5037.3
35152,Tarlisua,-5038.75
140324,Bocsa,-5040.2
173230,Stoenesti,-5044.55
54412,Turnu Ruieni,-5047.45
43563,Maxineni,-5050.35
108874,Sacel,-5056.15
107920,Cupseni,-5059.05
124493,Tarcau,-5064.85
88092,Baita,-5066.3
19249,Tigveni,-5067.75
148729,Frumosu,-5069.2
36426,Broscauti,-5070.65
168130,Oras Ocnele Mari,-5072.1
33364,Ilva Mica,-5073.55
