Siruta,Localitate,Diferenta_Barbati_Femei
55623,Alunis,-1755.95
179695,Simisna,-1755.95
152724,Didesti,-1758.85
112263,Ilovat,-1763.2
64568,Moacsa,-1764.65
135226,Secaria,-1774.8
10239,Brazii,-1777.7
132137,Aricestii Zeletin,-1777.7
130384,Soparlita,-1777.7
11174,Halmagel,-1777.7
117505,Hodosa,-1779.15
171469,Milcoiu,-1780.6
142373,Poiana Blenchii,-1782.05
111916,Greci,-1787.85
160261,Crisan,-1789.3
153972,Saceni,-1789.3
112806,Padina,-1799.45
78668,Arcani,-1799.45
120511,Bereni,-1809.6
126674,Dobretu,-1815.4
140770,Cristolt,-1818.3
85467,Sacel,-1818.3
180019,Sarateni,-1819.75
73013,Macesu De Sus,-1822.65
51387,Berliste,-1824.1
138770,Sacaseni,-1824.1
74956,Talpas,-1825.55
156589,Curtea,-1827.0
127714,Nicolae Titulescu,-1828.45
9019,Cut,-1840.05
11236,Hasmas,-1840.05
5167,Livezile,-1842.95
72980,Macesu De Jos,-1844.4
56327,Buza,-1856.0
112129,Husnicioara,-1856.0
92783,Albesti,-1858.9
74705,Verbita,-1860.35
111417,Corlatel,-1860.35
33881,Milas,-1861.8
2309,Almasu Mare,-1866.15
90805,Ribita,-1870.5
113518,Stangaceaua,-1880.65
120343,Zagar,-1890.8
52758,Ezeris,-1890.8
52721,Domasnea,-1898.05
168755,Boisoara,-1903.85
96664,Cucuteni,-1906.75
48922,Racoviteni,-1906.75
70986,Brabova,-1906.75
10417,Chisindia,-1909.65
65105,Mereni,-1911.1
112334,Ilovita,-1914.0
143922,Apoldu De Jos,-1916.9
155092,Beuca,-1919.8
107083,Asuaju De Sus,-1919.8
179855,Gardani,-1921.25
56014,Belis,-1924.15
6547,Radesti,-1924.15
144535,Cartisoara,-1925.6
32045,Viisoara,-1927.05
90725,Rachitova,-1928.5
85243,Ocland,-1931.4
27506,Boianu Mare,-1931.4
62823,Saraiu,-1935.75
28889,Cristioru De Jos,-1941.55
179944,Runcu Salvei,-1947.35
74931,Plesoi,-1947.35
73852,Radovan,-1948.8
160476,Hamcearca,-1953.15
178965,Spulber,-1953.15
50564,Florica,-1958.95
141027,Dragu,-1963.3
43929,Scortaru Nou,-1966.2
19212,Teiu,-1967.65
118094,Magherani,-1967.65
179882,Ciumesti,-1974.9
49233,Sarulesti,-1976.35
85056,Meresti,-1977.8
74891,Galiciuica,-1979.25
94606,Ulmu,-1979.25
31057,Sambata,-1980.7
60099,Vultureni,-1982.15
101519,Bulbucata,-1982.15
141081,Fildu De Jos,-1989.4
8229,Vadu Motilor,-1993.75
125757,Barasti,-1999.55
59130,Recea-Cristur,-2001.0
56265,Borsa,-2002.45
57449,Cornesti,-2003.9
11664,Petris,-2003.9
74867,Carna,-2005.35
59498,Sanmartin,-2006.8
