tari,Y_C1,Y_C2
Bulgaria,-0.32029289630871466,-1.0907231685564935
Czech Republic,1.2419927982415555,0.19147405983552368
Denmark,-0.020869493761071646,0.023530537615852932
Germany,1.088346753852492,0.6273948879001372
Estonia,-0.2095055879698271,-1.134256495777434
Ireland,-1.052983094090862,0.20897111330361487
Greece,-3.211056752708632,1.7254695673424967
Spain,0.6739225128084075,1.8368443093501694
France,-1.238650324014439,-0.5444126424820975
Croatia,-0.1054226612612304,-0.8735763580839734
Italy,-0.1778311195262226,-0.16015775517398215
Cyprus,-0.41868155522419265,1.5392171418390816
Latvia,0.4104725103292745,-0.7389570332690651
Lithuania,1.1803747349745348,0.08002588894887852
Luxembourg,-0.9050953964441388,-0.4271668148049243
Hungary,1.5573016256438053,0.32859233131328297
Malta,-0.19150802320811144,-0.5055928698847417
Netherlands,0.45625062104503245,-0.5864140710531834
Austria,1.279116004345247,1.1971291165511384
Poland,1.6074292633612777,0.48042408195316544
Portugal,0.018717116660089274,0.45300712924969894
Romania,0.010644856799447386,-0.189362997257617
Slovenia,-0.06202078411383516,-0.3452238903432783
Slovakia,0.6262849924640053,-0.6251068418764404
Finland,-0.14162718041565353,-0.824745457890377
Sweden,-0.5392960018554764,-0.7043273829300511
United Kingdom,-1.5560129196227608,0.057943614180616804
