tari,X_C1,X_C2
Bulgaria,-0.04026439179885256,-0.11275586543040113
Czech Republic,0.2135792949947418,-0.20111557324397691
Denmark,0.4403655377050859,0.5798557992241774
Germany,0.6825402570999086,1.086659329281454
Estonia,-0.01617309457078468,-0.21738429525988423
Ireland,-0.9993244411504989,-0.32157023312770355
Greece,-0.6575625485446417,0.47609586711940205
Spain,0.107016162529031,1.7908138367289543
France,-0.22816922454380786,-0.547641462916771
Croatia,0.004156690098861941,-0.18181552484334598
Italy,-0.23771952751964526,-0.604758055217463
Cyprus,-0.025720791932046284,-0.15961152636527035
Latvia,-0.014843204519428575,-0.22931382989871232
Lithuania,0.012226682659345752,-0.25332291057899015
Luxembourg,-0.026484479601031133,-0.22475371270092373
Hungary,0.4929227244884158,-0.16243781540724103
Malta,-0.018951275453096706,-0.21344121903941926
Netherlands,0.5376302056648806,-0.14637348857731913
Austria,-0.032034361473245634,-0.19894629873635697
Poland,1.3616535332760784,-0.0027970378093834405
Portugal,0.17941344146222665,-0.15676671576012638
Romania,-0.3189700277421935,0.18466939219820333
Slovenia,0.014508179694552347,-0.2695859969024235
Slovakia,0.07208515686043145,-0.2161391684036977
Finland,0.03183917129689051,-0.23775175365425694
Sweden,-0.018644542659837407,-0.23771868570867002
United Kingdom,-1.51507512632134,0.7779069450301461
